NAME,Park,State,Country,Type,Manufacturer/Designer,Model,Duration,Length,Height,Drop,Speed,Inversions,Year Opened,Year Closed,Age,Your Total # of Rides,Total Ridden Length,Total Ride Time,Year of Latest Visit,Year of First Ride,# Rides Pre 2020,# Rides 2021,# Rides 2022,# Rides 2023,# Rides 2024,# Rides 2025,# Rides 2026,# Rides XXXX,<-INSERT HERE
Thunderhead,Dollywood,Tennessee,United States,Wood,Great Coasters International,Wooden,0:02:05,3230,100.4,100,53.7,0,2004,,19,1,3230,0:02:05,2021,,2,1,,,,,,,
Tornado,Stricker's Grove,Ohio,United States,Wood,Philadelphia Toboggan Company,,0:01:33,,,,,0,1993,,30,1,0,0:01:33,2023,2023,,,,1,,,,,
Vortex,Kings Island,Ohio,United States,Steel,Arrow,Custom Looping,0:02:30,3800,148,138,55,6,1987,2019,32,0,0,0:00:00,2015,,2,,,,,,,,
Wicker Man,Alton Towers,,England,Wood,Great Coasters International,Wooden,0:03:30,2608.3,,72.2,43.6,0,2018,,5,2,5216.6,0:07:00,2023,2023,,,,2,,,,,
Wild Eagle,Dollywood,Tennessee,United States,Steel,Bolliger & Mabillard,Wing,0:02:22,3127,,135,61,4,2012,,11,2,6254,0:04:44,2021,,1,2,,,,,,,
Woodstock Express,Kings Island,Ohio,United States,Wood,Philadelphia Toboggan Company,Wooden,0:01:30,1350,38.6,,35,0,1972,,51,5,6750,0:07:30,2023,,2,,2,3,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,0,0:00:00,,,,,,,,,,,
